licenseNumber,legalName,licenseType,Address,licenseExpiryDate,zip,phone,email,hours
GAAI-X6KU-2TWI,12221 Garden LLC,Grower Indoor,"12221 County Road 1520, Ada, Pontotoc",2024-08-09,74820,(405) 887-1998,tinacao.resources@gmail.com,9:00 a.m. - 5:00 p.m.
GAAA-KUXO-P10T,12264 Budz LLC,Grower,"12264 NE 23RD ST, CHOCTAW, Oklahoma",2023-10-13,73020,4054732854,12264budzllc@gmail.com,10-6
PAAA-4MBT-XUBX,12276 Budz LLC,Processor,"12250 NE 23RD ST, CHOCTAW, Oklahoma",2024-10-24,73020,9085104637,12276budzllc@gmail.com,10-5
DAAA-8HBC-NY7Y,1315 GUYMON LLC,Dispensary,"1315 NE HIGHWAY 54, GUYMON, Texas",2024-11-25,73942-4565,4056691938,masonbrianne3@gmail.com,10-10
GAAI-SUZK-8HMN,1320 RESERVE LLC,Grower Indoor,", MCALESTER, Pittsburg",2024-07-07,74501,(918) 424-1112,patlewis1@hotmail.com,N/A
GAAA-PVH6-Q4KU,"13539, LLC",Grower,", Oklahoma City, Oklahoma",2024-03-07,73114,(405) 397-9109,mallen@midcondata.com,N/A
DAAA-SPDS-PK1N,13588 S HWY 169 LLC,Dispensary,", OOLOGAH, Rogers",2023-12-11,74053-3237,4053014395,lrs66@me.com,9 a.m. to 12 a.m.
GAAA-OHGB-N65Z,"138 Farms OKLA, LLC",Grower,", Claremore, Rogers",2024-02-11,74019,(719) 799-0739,elad@138farms.com,8-6
GAAI-WYUO-MBAY,13th Ave Grow LLC,Grower Indoor,", CLEVELAND, Pawnee",2025-03-14,74020-7161,(919) 607-1031,mingzhu2021@gmail.com,8am - 6pm
DAAA-OB5A-VOPD,1400 12TH Ave SE LLC,Dispensary,"1400 12th Avenue SE Ste 330, Norman, Cleveland",2025-06-27,73071,(405) 493-9550,compliance@highsocietyok.com,24 hours
DAAA-XPGX-DAAG,1406 BROADWAY LLC,Dispensary,", Ada, Pontotoc",2024-07-28,74820,(580) 399-7619,trkanuch@gmail.com,10AM-10PM
GAAA-CQ3K-HCPS,1406 BROADWAY LLC,Grower,"1911 A ST, ADA, Pontotoc",2023-08-05,74820,(580) 399-7619,trkanuch@gmail.com,N/A
DAAA-G8B7-9W7V,1408 DISPO LLC,Dispensary,", OKLAHOMA CITY, Oklahoma",2025-03-22,73128-2411,(850) 497-3982,smokymountainmedicinellc@gmail.com,N/A
GAAA-VHXP-OTOU,"1408 Grow, LLC",Grower,"1408 South Macarthur Boulevard, Oklahoma City, Oklahoma",2023-07-18,73128,(850) 497-3982,smokymountainmedicinellc@gmail.com,8 am - 5 pm
GAAA-NJAR-PKDB,147 CP3 LLC,Grower,", TULSA, Tulsa",2023-12-05,74128-2405,(516) 643-4004,paras@thebodegaboyz.com,
DAAA-5NKF-PH5G,1500 West Gentry LLC,Dispensary,"1500 W GENTRY AVE, CHECOTAH, McIntosh",2024-01-27,74426-2067,9184416485,dick_and_frank_llc@yahoo.com,10a-10p
DAAA-RGRJ-V8FA,15249 South 76th Holdings LLC,Dispensary,", BIXBY, Tulsa",2022-12-19,74008-4165,(818) 522-6833,skyeflower420@gmail.com,
GAAA-UBON-KYFV,160 ACRES LLC,Grower,", MAYSVILLE, Garvin",2023-06-08,73057,(405) 838-1168,85220072@qq.com,N/A
DAAA-EJD3-JPKQ,169 WONDERLAND LLC,Dispensary,", NOWATA, Nowata",2024-08-07,74048-2808,(310) 279-9521,alansoleyman@yahoo.com,10AM-10PM
GAAA-RP7Z-NUN7,17 Batchlor Farm Acres LLC,Grower,", Atoka, Atoka",2023-02-01,73852,(314) 662-2625,bgclean@yahoo.com,24
DAAA-LNOX-U7U6,1705 KG El Reno LLC,Dispensary,"1705 INVESTORS AVE, EL RENO, Canadian",2025-05-24,73036-1607,4056660999,masonbrianne3@gmail.com,10-10
GAAI-VYRV-ZZVU,"17295 Grow, LLC",Grower Indoor,", CLAREMORE, Tulsa",2024-12-27,74017-3077,9186977803,charles.wilkin@altitude-brands.com,9-5
GAAA-8XJU-M2JP,"1750 ZandC, LLC",Grower,", Duncan, Stephens",2022-10-18,73533,8329958888,zandc1750@outlook.com,8:00:00 AM - 5:00:00 PM M- F
GAAA-ZS7Q-WOP1,"178500 Duncan, LLC",Grower,"178500 N 2972 Rd, Duncan, Stephens",2023-12-30,73533,(520) 414-2220,tgawillaz@gmail.com,N/A
DAAA-PEZJ-FV8Y,"178500 Duncan, LLC",Dispensary,"178500 N 2972 Rd, Duncan, Stephens",2023-12-30,73533,(520) 414-2220,tgawillaz@gmail.com,N/A
PAAA-MYXR-93FW,"178500 Duncan, LLC",Processor,"178500 N 2972, Duncan, Stephens",2023-12-30,73533,(520) 414-2220,tgawillaz@gmail.com,N/A
PAAA-FQQB-FQPE,179 South 122nd Holdings LLC,Processor,", MOYERS, Pushmataha",2022-12-25,74557-5619,4058167228,diane@liftedlogix.com,24
GAAA-D6YR-KZNI,179 South 122nd Holdings LLC,Grower,", MOYERS, Pushmataha",2022-12-21,74557-5619,4058167228,diane@liftedlogix.com,24
GAAA-26WA-HISA,18 Drops LLC,Grower,", Okmulgee, Okmulgee",2023-10-13,74447,3479486391,osgrower@gmail.com,9-5
GAAA-G9MN-U4AE,18760 LEXINGTON HOLDING LLC,Grower,"18760 168TH STREET, LEXINGTON, Cleveland",2023-05-27,73051,(405) 207-7219,ittybittyfarmok@gmail.com,N/A
DAAA-QLZ3-0KZD,18920 WONDERLAND LLC,Dispensary,", CATOOSA, Tulsa",2023-12-19,74015-2889,9183795222,alansoleyman@yahoo.com,10AM-midnight
GAAA-41RY-3OEL,"1902 Organics, LLC",Grower,"439319 E 340 RD, BIG CABIN, Craig",2023-09-19,74332-8093,9182445326,1902organics@gmail.com,Monday- Saturday from 9:00am-9:00pm
DAAA-LR2J-NOD6,"19EK82 INVESTMENTS, LLC",Dispensary,"1520 N GRAND ST, ENID, Garfield",2024-11-13,73701-1762,4056130962,mainesthaze@gmail.com,
PAAA-C7OG-UNDM,"1Trap Co-Pack, LLC",Processor,"21023 E 0190 St., Butler, Custer",2024-01-10,73625,1 (918) 260-8997,ethan@boofless.com,N/A
PAAA-6UYO-7SZJ,"1st Street Productions, LLC",Processor,", Oklahoma City, Oklahoma",2024-01-10,73106,(707) 499-8587,jessica@bakersbrands.com,`
DAAA-2268-UUC7,"2 Dope Chicks, LLC",Dispensary,"22507 STATE HIGHWAY 49, Ste 1, Lawton, Comanche",2024-02-02,73507,5806786350,travis.mcbride88@gmail.com,9am - 9pm
GAAA-1JUJ-GO0G,20 Antlers Farm Group LLC,Grower,", ANTLERS, Choctaw",2024-07-23,74523-4501,(314) 662-2625,bgclean@yahoo.com,24 hours
DAAA-QBMS-VDGE,20 Antlers Farm Group LLC,Dispensary,", ANTLERS, Choctaw",2022-10-27,74523-4501,(314) 662-2625,bgclean@yahoo.com,24 hours
PAAA-6FEJ-0JQB,20 Antlers Farm Group LLC,Processor,", ANTLERS, Choctaw",2022-10-27,74523-4501,(314) 662-2625,bgclean@yahoo.com,24 hours
DAAA-FY3Z-RWMK,2012 N UNION LLC,Dispensary,", PONCA CITY, Kay",2024-04-17,74601-1540,4056691938,masonbrianne3@gmail.com,10-10
GAAI-BKHR-ZDMG,202 Star LLC,Grower Indoor,"15067 S ELWOOD AVE STE 100-105, GLENPOOL, Tulsa",2024-12-19,74033-4041,9187280106,202starllc@gmail.com,09-5pm
GAAA-9CCM-CAGP,"2021 Amazing Farms, LLC",Grower,", Hartshorne, Pittsburg",2024-05-11,74547,9188009912,jesse.thao79@yahoo.com,8-5
GAAA-QE3F-ZOPB,"202238 Ventures, LLC",Grower,", Woodward, Woodward",2023-10-30,73801,(267) 637-7007,xinyi.xiao@yahoo.com,
GAAI-NTXK-K6IZ,"202783 Ventures, LLC",Grower Indoor,", SHARON, Woodward",2024-09-22,73857-5167,(580) 254-1115,ventures202783@outlook.com,10AM -5PM
PAAA-8HAK-YZ9E,20STARS LLC,Processor,", BROKEN ARROW, Tulsa",2025-05-10,74152,(918) 727-6683,alexrrose34@gmail.com,9-5
GAAA-WQDP-BFSC,"20Stars, LLC",Grower,", BROKEN ARROW, Tulsa",2023-11-06,74012-2693,(918) 727-6683,alexrrose34@gmail.com,12:00 a.m. to 11:59 p.m.
DAAA-4YNY-NSUR,"21 Garnett Group, LLC",Dispensary,"1901 S GARNETT RD, TULSA, Tulsa",2025-03-07,74128,(248) 961-6160,kevin@mangocannabis.com,Sunday - Thursday 10a-10p; Friday and Saturday 10a-12a
GAAA-V9C6-WYFS,"210 Ventures, LLC",Grower,", Lexington, Cleveland",2023-07-28,73051,(347) 369-9686,210venturesllc@gmail.com,
DAAA-UEH7-GWOJ,2100 S Broadway LLC,Dispensary,"2100 S Broadway, Edmond, Oklahoma",2024-10-30,73013-4021,(405) 657-2000,holcombdj@gmail.com,"9 am - 10 pm Mon-Th; 9am-12am F-Sat, 10-7 Sun"
GAAI-FDR8-KIR1,21003 GREENHOUSE LLC,Grower Indoor,", PAULS VALLEY, Garvin",2024-09-09,73075-9136,(580) 229-3248,rachelreyes4718@gmail.com,8-5
GAAA-HTU2-2PL8,211 Grow LLC,Grower,", Blackwell, Kay",2023-09-15,74631,(770) 294-3051,renyatl26@yahoo.com,9:00am to 5:00pm
GAAA-QNJ8-AQDL,22874 Ventures LLC,Grower,"22874 US HIGHWAY 270, WOODWARD, Woodward",2023-10-30,73801-7725,(405) 916-9743,arthur1118wang@gmail.com,
DAAA-81PP-6YTY,2311 WONDERLAND LLC,Dispensary,", Tulsa, Tulsa",2024-12-30,74104,(310) 279-9521,alansoleyman@yahoo.com,N/A
GAAI-0R0T-UT1G,23946 LUCK LLC,Grower Indoor,"23946 E COUNTY ROAD 1630, ELMORE CITY, Garvin",2025-09-20,73433,(720) 397-1261,eliteassociatesok@gmail.com,N/A
DAAA-N1HK-M94G,24K Medical LLC,Dispensary,"750 S CHEROKEE ST, CATOOSA, Rogers",2024-10-18,74015-2680,(918) 237-0693,houseofdankcatoosa@gmail.com,Monday-Saturday 10AM-5PM Sunday 12PM-5PM
GAAA-WKEK-NCWU,"24k Farms, LLC",Grower,", Lindsay, Grady",2023-09-26,73052,(405) 351-3665,ok24kfarms@outlook.com,M - F 10:00 a.m. to 5:00 p.m.
DAAA-AM7D-JSZ8,"2541 W Main Naturals, LLC",Dispensary,"2541 W Main St Ste 105, Norman, Cleveland",2024-09-30,73069,(405) 493-9550,compliance@highsocietyok.com,24 hours
DAAA-1NPD-P2JZ,2604 KG MUSKOGEE,Dispensary,"2604 Chandler Road, Muskogee, Muskogee",2025-01-04,74403,(405) 669-1938,masonbrianne3@gmail.com,10-10
DAAA-PO9T-RH74,2920 8TH LLC,Dispensary,"2920 8TH ST, WOODWARD, Woodward",2024-12-26,73801-6715,4056691938,masonbrianne3@gmail.com,10-10
GAAA-T6IO-2JVX,2970 Cultivation LLC,Grower,", CRESCENT, Kingfisher",2023-08-01,73028-3806,4057353800,jessica@stacylegalgroup.com,24
GAAA-CWEI-2FO2,2C Farm & Ranch LLC,Grower,", Fletcher, Comanche",2024-03-03,73541,(580) 695-1783,eagles.ike31@gmail.com,N/A
GAAA-NKTN-XBW4,2CG LLC,Grower,"17659 CR NS 224, FREDERICK, Tillman",2023-11-06,73542-0000,5803351105,183truckstop@gmail.com,7 AM TO 10 PM
GAAA-PEM1-ART8,2R Green LLC,Grower,"7315 East Seminole Street North, Tulsa, Tulsa",2024-02-02,74115,(918) 271-3219,2rgreenllc@gmail.com,N/A
DAAA-3GJ8-AWR5,2near + 2hear Dispensary and Memes Ltd Co,Dispensary,"713 s Sheridan rd, Tulsa, Tulsa",2024-04-06,74112,(539) 867-1041,2plus2dispo@gmail.com,7:00a - 9:59p
GAAA-Y57M-ZS24,3 Kings Connoisseur Cannabis Company LLC,Grower,"16401 Cemetery Rd, Noble, Cleveland",2023-12-05,73068,(303) 901-7734,miller.elizabeth101@gmail.com,24 hours
DAAA-EJNZ-2COE,"3 Leafs Dispensary, LLC",Dispensary,"2464 N YALE AVE, TULSA, Tulsa",2024-03-27,74115-3302,9189224718,3leafs2019@gmail.com,9am-9pm Mon- Sat. 10am-6pm Sun
PAAA-JNBG-ISYD,"300 Main, LLC",Processor,", Purcell, McClain",2024-07-17,73080,2813871727,rb225@me.com,sat 10-2
GAAA-K0RO-ZEQQ,"300 Main, LLC",Grower,", Purcell, McClain",2024-03-27,73080,2813871727,rb225@me.com,Sat-Sun 10-2
DAAA-EY5C-Y73Q,30M Ventures LLC,Dispensary,"6849 S PEORIA AVE, TULSA, Tulsa",2025-02-01,74136-3667,(539) 867-1584,team@tulsahouseoffire.com,12am-12pm
DAAA-VY2E-AW9U,"318, Inc",Dispensary,"1350 E KENOSHA ST, BROKEN ARROW, Tulsa",2025-03-08,74012,(918) 994-7794,hamiltonsdispensary@gmail.com,24 hours
GAAA-7A4V-HNX3,32D LLC,Grower,", STILLWATER, Payne",2023-08-09,74074-7510,(405) 876-7100,will@livesgf.com,Monday-Friday 11:00am-5:00pm
DAAA-ZBFN-R9EO,33 DISPENSARY LLC,Dispensary,"600 W BROADWAY ST, DRUMRIGHT, Creek",2023-08-08,74030-3613,4053341231,33dispensary2@gmail.com,10:00AM TO 9:00PM MONDAY THROUGH SATURDAY 10:00AM TO 7:00PM SUNDAY
GAAA-SGDM-1WZI,333 Shooting Star Plants LLC,Grower,", TULSA, Creek",2023-09-27,74131,(918) 978-0693,333shootingstarllc@gmail.com,8-5
DAAA-CMMO-2QYI,3404 Budz LLc,Dispensary,", Del City, Oklahoma",2023-10-20,73115,(405) 285-0222,2891budzllc@gmail.com,10am-8pm
GAAA-NFRX-3P1T,"3420 Pharms, LLC",Grower,"251 Silver Lane, Edmond, Logan",2023-07-07,73025,(720) 517-8369,3420pharms@gmail.com,Mon-Friday 8-5
TAAA-4YMN-9LMG,345 CUSHING LLC,Transporter,", CUSHING, Lincoln",2024-03-09,74023,(929) 928-0314,youlongli88@gmail.com,N/A
GAAI-YM1B-ETSG,"35 Green, LLC",Grower Indoor,", PIEDMONT, Canadian",2024-09-18,73078,(405) 493-4859,adobegreen.ok@gmail.com,M - F 10:00 a.m. to 4:00 p.m.
GAAI-E17X-6YDR,36 NE 36th LLC,Grower Indoor,", Oklahoma City, Oklahoma",2024-11-14,73105,(702) 883-1735,shinggan3004@gmail.com,9am-5pm
DAAA-YZL0-L8W8,365 Cannabis Company LLC,Dispensary,"1740 South Hwy 183 Suite A, Clinton, Custer",2024-09-26,73601,(405) 423-1910,365cannaco@gmail.com,24/7
GAAA-CJXR-8YIW,365 DWC and Indoor Cultivation LLC,Grower,", VINITA, Craig",2023-09-08,74301-6994,6513350532,365dwc@gmail.com,10 a.m. to 5 p.m. Mon.-Fri.
PAAA-T8HC-TS48,379020 Oklahoma LLC,Processor,", OKEMAH, Okfuskee",2023-12-08,74859-4215,(405) 467-5294,melissachristina@hotmail.com,N/A
DAAA-D66H-E5NV,379020 Oklahoma LLC,Dispensary,", Okemah, Okfuskee",2024-01-12,74359,(620) 482-6904,noble@roserockdispensary.com,10am to 8pm
PAAA-X07Y-BSZ2,3808 A LLC,Processor,", OKLAHOMA CITY, Oklahoma",2024-05-30,73173-8305,4053354887,masonbrianne3@gmail.com,10-10
GAAA-G5MI-NIPL,3D Forty Farms Inc.,Grower,"1033 SW 1050TH AVE, WILBURTON, Latimer",2023-12-27,74578-6738,(918) 558-7544,3dfortyfarms@gmail.com,8-10
GAAA-EK6X-SBGP,3D Grow Pharms LLC,Grower,"2333 LEO SUN ST, SHAWNEE, Pottawatomie",2023-12-18,74804-9369,1 (917) 803-8222,dalishuishou100@gmail.com,10-5
GAAA-KAX5-8ICP,"3FG, LLC",Grower,", DAVIS, Garvin",2023-12-18,73030-9396,(469) 826-6453,carlos@charlyscannabis.com,12 pm to 3 pm W-F
DAAA-WQDL-IEVT,3G KUSH DISPENSARY,Dispensary,"3825 NW 23RD ST, SUITE D, OKLAHOMA CITY, Oklahoma",2024-01-09,73107,4054149380,jichairez.jc@gmail.com,10AM-10PM
GAAA-OQ2N-K7ZX,3R Inc.,Grower,"35875 E 101ST ST S, COWETA, Wagoner",2023-12-08,74429-3800,(918) 515-0288,rustedleaffarms@gmail.com,10:00 - 18:00
DAAA-ZCH3-3NVX,3rd Coast Alternative Solutions LLC,Dispensary,"329 Sw C Avenue, Lawton, Comanche",2024-07-25,73501,(409) 433-3102,dean420lynch@gmail.com,10-8
GAAA-J7KX-B1GC,3rd Coast Alternative Solutions LLC,Grower,"329 Sw C Avenue, Lawton, Comanche",2024-05-18,73501,(409) 433-3102,dean420lynch@gmail.com,10AM-8PM
PAAA-8U56-CAOV,3rd Coast Alternative Solutions LLC,Processor,", Lawton, Comanche",2024-05-18,73501,(409) 433-3102,3rdcoastaltsolutions@gmail.com,10AM-8PM
DAAA-ERLL-HQGE,3rd Coast Alternative Solutions LLC,Dispensary,"5901 sw deyo mission rd, Lawton, Comanche",2023-11-15,73505,(409) 433-3102,dean420lynch@gmail.com,N/A
DAAA-ZRL9-63CH,3rd Coast Alternative Solutions LLC,Dispensary,"5901 sw deyo mission rd, Lawton, Comanche",2023-11-17,73505,(409) 433-3102,dean420lynch@gmail.com,N/A
GAAA-VWG9-9ABR,3rd thymesacharms llc,Grower,"4190 CARTER RD, ARDMORE, Carter",2023-12-20,73401-0241,(580) 768-4877,3tc@myganja.com,9:00am-5:00 pm
GAAA-FCLQ-9MMA,4 LEGAL GREEN LLC,Grower,", LEXINGTON, Cleveland",2024-06-29,73051,(917) 345-5886,fengyun214@hotmail.com,9AM-5PM
GAAA-MBPA-6QIK,4 Loads Grow LLC,Grower,"2150 N 380, WETUMKA, Hughes",2023-12-12,74883,4054455246,fourloadsgrow@yahoo.com,10:00 AM to 6:00 PM
DAAA-NAY0-VAV5,4 Loads Grow LLC,Dispensary,"2150 N 380, WETUMKA, Hughes",2023-12-13,74883,4054455246,fourloadsgrow@yahoo.com,10:00 AM to 6:00 PM
PAAA-QP0Z-JWAV,4 Loads Grow LLC,Processor,"2150 N 380, WETUMKA, Hughes",2024-01-03,74883,4054455246,fourloadsgrow@yahoo.com,10:00 AM to 6:00 PM
PAAA-3DPO-O81P,"4 of a Kinde, LLC",Processor,", Watts, Adair",2024-01-10,74964,(479) 228-8064,wademartin308@gmail.com,8am-5pm
DAAA-QUSA-XIWG,"4-C's Shop, LLC",Dispensary,"25695 E 71ST ST S, BROKEN ARROW, Wagoner",2024-01-03,74014-7307,(539) 367-2988,4csshop@gmail.com,24/7
GAAA-F3RQ-CQSD,40 ACRES LLC,Grower,"49689 E COUNTY RD 1570, STRATFORD, Garvin",2024-07-11,74872,(405) 838-1168,b40acresllc@gmail.com,N/A
LAAA-NYWH-5XOE,405 Analytical LLC,Testing Laboratory,"351 N AIR DEPOT BLVD, MIDWEST CITY, Oklahoma",2024-07-03,73110-1760,4055485734,laboratory@405analytical.com,"Monday-Friday, 10 am to 6 pm"
GAAA-QV3O-ZERZ,405 Bud Growers LLC,Grower,", WELLSTON, Lincoln",2023-11-02,74881,(918) 557-9998,405tissueok@gmail.com,Monday through Friday 0900-1700
DAAA-OSR6-BDLC,405 Budz South LLC,Dispensary,"8203 S PENNSYLVANIA AVE, OKLAHOMA CITY, Oklahoma",2025-01-01,73159-5201,4056182074,405budzsouth@gmail.com,9am-10pm
DAAA-J8PN-UL8K,"405 Gas Station 2, LLC",Dispensary,"14022 SE 29th St, Choctaw, Oklahoma",2023-11-30,73020,(405) 931-3600,405gasstation2@gmail.com,N/A
DAAA-R7SN-FEZI,"405 Gas Station 3, LLC",Dispensary,"217 N Commerce, Ardmore, Carter",2024-03-06,73401,(405) 673-7788,405gasstation3@gmail.com,Mon - Sun 9AM - 9PM
DAAA-R5UY-LV5A,"405 Gas Station 4, LLC",Dispensary,"3360 S HARRAH RD, HARRAH, Oklahoma",2023-12-26,73045-6161,(405) 309-6003,405gasstation4@gmail.com,Mon-Sun 9AM-9PM
GAAA-MRT5-DA44,"405 HIGH LIFE, LLC",Grower,", NARDIN, Kay",2023-09-09,74646,(405) 617-3858,405highlife@gmail.com,N/A
GAAA-3Y6F-GYKW,"405 High Life, LLC",Grower,", Macomb, Pottawatomie",2024-05-10,74852,(405) 617-3858,405highlife@gmail.com,10am - 4pm
DAAA-NJRV-M7SV,405 OGD LLC,Dispensary,"826 Veteran's Memorial Highway, Blanchard, McClain",2023-11-10,73010,4053204329,405ogdllc@gmail.com,10:00AM-9:00PM
DAAA-NKZN-5FMC,405 Smoke LLC,Dispensary,"1015 SE 44TH ST, OKLAHOMA CITY, Oklahoma",2024-02-01,73129-6809,4056775816,ok405smoke@icloud.com,Mon - Sat 8 - 11 Sun 11 - 8
GAAA-25ME-C1Y0,405420 LLC,Grower,", OKLAHOMA CITY, Oklahoma",2023-05-11,73119-5059,8308223715,managementokllc@gmail.com,9am-3pm
GAAA-V1KL-3KQF,42 degrees llc,Grower,"8401 North Choctaw Road, coyle, Logan",2024-10-12,73027,4055148169,fritz@whitebox.net,8-5
DAAA-XQBJ-UTM8,"420 Cookies Club, LLC",Dispensary,"503 N PEORIA AVE, TULSA, Tulsa",2024-12-12,74120-1230,6082399314,jaleesaparedes918@gmail.com,6am - 12 AM
GAAA-WCDV-ADJ1,420 Craft Growers LLC,Grower,"20838 S 257TH WEST AVE, KELLYVILLE, Creek",2023-11-09,74039-5521,8173131654,rdt3@sbcglobal.net,10 a.m. to 5 p.m. Mon.-Fri.
PAAA-N1KA-M5MP,420 Dabz LLC,Processor,"11111 E 56TH ST, TULSA, Tulsa",2023-12-07,74146-6730,(918) 346-9502,subbiah.ayyappan@420dabz.com,9-5
DAAA-VKJH-UMVB,420 Enterprises LLC,Dispensary,", LAWTON, Comanche",2025-04-18,73507,5805912606,ezweedgrowers@gmail.com,10 A.M. - 8 P.M.
DAAA-4JNB-ASJD,420 Farmacy LLC,Dispensary,"10806 N 2000 RD, ELK CITY, Beckham",2024-05-05,73644-6020,5807997655,420farmacyelkcity@gmail.com,10am to 7pm
DAAA-IFBH-YUUX,420 Fortress,Dispensary,", Marietta, Love",2024-10-17,73448,(323) 827-9685,goodshevron@gmail.com,10am-7pm
GAAA-EKYT-EWQD,420 Green Grass Corporation,Grower,"1111 US HIGHWAY 77, ARDMORE, Carter",2024-02-01,73401-2061,2544850894,okcdisp@yahoo.com,9 AM to 9 PM
DAAA-N1DT-3FKW,420 Green Grass Corporation,Dispensary,"1111 US HIGHWAY 77, ARDMORE, Carter",2024-02-14,73401-2061,2544850894,okcdisp@yahoo.com,10AM - 8PM
GAAA-ZEAQ-VL5S,420 High Grower LLC,Grower,"30841 W Beaver Mt Rd, Stigler, Haskell",2023-10-25,74462,(918) 618-1695,highgrowerllc@gmail.com,Monday-Thursday 10AM-4PM (Friday-Sunday By Appointment Only)
DAAA-2P4I-IT33,420 Holistic Dispensary LLC,Dispensary,"514 N Elm Pl, Broken Arrow, Tulsa",2024-03-10,74012-2539,(405) 370-1132,420holistichealth@gmail.com,8:00am-10:00pm
GAAA-POAX-ZI7O,"420 Joint Venture, LLC",Grower,"9350 HIGHWAY 52, OKMULGEE, Okmulgee",2023-11-22,74447-8826,9186307560,office@420jointventure.net,8-5
DAAA-41KK-CRUL,420 Riding Dirty Enterprise LLC,Dispensary,"1100 FALCON RD, ALTUS, Jackson",2023-08-08,73521-2804,5806821374,cannabislicensing@troutman.com,"M-R: 8-10; F,-Sat: 8-11; Sun: 8-8"
GAAA-QQKO-3ZQ1,420 SHINING STAR LLC,Grower,", TULSA, Creek",2023-10-13,74131-3625,5089714026,shiningstar8630@gmail.com,8-5
DAAA-ZAZF-GUWR,"420 Sunshine Dispensary, LLC",Dispensary,"5529 SE 15TH ST, DEL CITY, Oklahoma",2023-12-26,73115-4509,4057685555,four20sunshine@yahoo.com,Monday- Saturday from 8:00am- 10:00pm
GAAA-PAKR-MVLR,"420 Sunshine Grow, LLC",Grower,", Oklahoma City, Oklahoma",2024-04-15,73129,(405) 831-5850,four20sunshine@yahoo.com,M-F 9:00 am - 5:00 pm
PAAA-L2U2-7QD3,420 Sunshine Processing LLC,Processor,"4307 South Prospect Avenue, Oklahoma City, Oklahoma",2023-11-30,73129,(405) 831-5850,four20sunshine@yahoo.com,9am to 6pm
DAAA-NY1T-VMPF,420 Utica LLC,Dispensary,", TULSA, Tulsa",2024-04-20,74104,9186256229,meetme@420utica.com,11am - 7pm
DAAA-VA3A-PRMR,420/7,Dispensary,"1011 E TULSA AVE, KANSAS, Delaware",2022-09-26,74347-7051,9189441526,420.7dispensarykansasok@gmail.com,9AM-9PM
DAAA-ZGO0-Z6YT,420/7,Dispensary,"105 S. MAIN ST, BRISTOW, Creek",2022-05-16,74010-2802,9188037085,420.7muskogeedispensary@gmail.com,9am-9pm
