,venue,Website URL,Description
10,Atlantic City Convention Center,https://www.accenter.com/,"The Atlantic City Convention Center hosts more than 500,000 visitors annually. At almost One million square feet, it is one of the East Coast’s Larest Convention Centers and houses the followingspaces – 5 Exhibit halls, 45 Meeting Rooms,and Pre- Function Space at over 32,000 sq. feet. It is conventiently connected to the AC Reginal Rail Terminal running from Philadelphia to Atlantic City, has over 1,400 parking spaces and has a pedestrain bridge that links to the Sheraton Hotel, making it one of the most accessible facilities in the region."
11,Atrium Health Amphitheater,https://www.maconcentreplex.org/atriumhealthamphitheater/,"Macon’s newest entertainment venue, the Atrium Health Amphitheater, will provide covered, fixed, and lawn seating for 10,000 attendees and feature retail and concessions space, vendor and event areas, and a number of performer amenities. With its huge stage, outdoor setting, and expansive lawn seating, Macon expects the Amphitheater to become a prime location for live music and other performances, offering audiences a truly unique experience."
12,Augusta Entertainment Complex,AECTix.com,"Located in downtown Augusta, the Bell Auditorium offers a proscenium stage, 7 dressing rooms, and a green room. It also hosts a D and B V-Series Line Array sound system and 158 conventional LED lighting. The venue is often used for family shows, concerts, comedy shows, and Broadway shows."
13,Avalon Theatre,https://www.avalontheatregj.com,"The Avalon Theatre is located in Downtown Grand Junction. With 1,096 seats in the auditorium, we have the space to host local and national entertainment. There are also events held on the Rooftop Terrace and Mezzanine Lobby framed with a beautiful view of Grand Junction’s Bookcliffs. Our newly furnished Encore Hall is the perfect blend of modern technology and hospitality to host your next meeting, small performance or movie screening."
14,Berger Foundation Iceplex,https://www.bergerfoundationiceplex.com/,"The 36,000sf Iceplex, located adjacent to Acrisure Arena, features a 250-spectator seat NHL ice rink, four locker rooms, two party room areas, and a mezzanine for skaters and viewers to enjoy concessions while connecting with friends. A myriad of special events is open to the public, including hockey and skating programs, tournaments, exhibition ice shows plus themed and charitable activities to include DJ Skate nights, Frozen 5k and more."
15,Blue Arena,https://www.treventscomplex.com/budweiser-events-center,"Blue Arena at The Ranch Events Complex, located in Loveland, Colorado, is a 6,800 seat multi-purpose venue, which opened in September 2003, and is home to the Colorado Eagles of the American Hockey League. This multi-purpose facility can host concert settings in various capacities, hockey, basketball, indoor football, family shows, rodeos, trade shows and flexible set-ups to accommodate any event. The Blue Arena, less than an hour drive from Denver and Cheyenne, Wyoming, has become the focal point for sports and entertainment in Northern Colorado."
16,BOK Center,https://www.bokcenter.com,"Tulsa’s BOK Center is an award-winning and premier sports & entertainment venue in the heart of Downtown Tulsa. The 19,199-seat arena hosts 50+ ticketed events each year, including A-list concerts, family shows, sporting events & more. BOK Center is home to the ECHL & IFL Tulsa Oilers."
17,Budweiser Gardens,https://www.budweisergardens.com,"Budweiser Gardens opened in October of 2002 with a seating capacity of 9,036 for hockey and ice events, and over 10,000 for concerts, family shows, and other events. The venue not only strives to meet the needs of the community through diverse programming, it also stands as a landmark of civic pride and community accessibility, promoting a sense of vibrancy and culture while also providing a wide range of public sports and entertainment. Constructed in the heart of downtown London, the exterior design of Budweiser Gardens incorporates a replica of the facade of the old Talbot Inn, a 19th Century Inn originally located where the building now stands. With a reputation and standard of excellence in the industry, Budweiser Gardens is a top stop for fans and performers alike."
18,Cable Dahmer Arena and Community Ice Rink,https://www.cabledahmerarena.com,"Located in the heart of the Heartland, Cable Dahmer Arena is a state-of-the-art, multi-purpose entertainment venue just 25 minutes from downtown Kansas City. Experience high quality entertainment in our modern $68 million dollar arena, which features 5,800 fixed seats, 2,200 parking spaces, and first-class amenities. Since its opening in 2009, the arena has hosted a variety of events, including concerts, theatrical tours, and sporting events. Cable Dahmer Arena is home to two professional sports teams, including the Kansas City Mavericks of the East Coast Hockey League and the Kansas City Comets of the Major Arena Soccer League. Additionally, the complex manages a Community Ice Rink facility dedicated to year-round ice sports and recreation."
19,Centene Community Ice Center,https://www.centenecommunityicecenter.com,"Centene Community Ice Center is as a state-of-the-art facility designed for hockey programming that is curated for all ages and skill levels. It houses three sheets of ice year-round and also features an outdoor rink for use in winter months. It is the official practice facility for the St. Louis Blues of the National Hockey League (NHL) and serves as the home rink for Lindenwood University (NCAA DI). Alongside hockey development programs, the facility also offers freestyle skating and daily public skate sessions providing a unique experience for locals to get on the ice. • Capacity: USA Rink: 2,500 | NHL Rink: 600 | The Barn (ice): 2,000 • Population: 2.8 mil • In-House Capabilities o Digital support via website and social channels o Inclusion in e-blasts to Cyber Club database o Access to database of players (parents of youth and adult league) if applicable o Spot in promotional rotation on up to 10 TVs in our hallways • Booking Contact: Jeremy Huelsing, jeremy.huelsing@oakviewgroup.com"
20,Central Bank Center/Rupp Arena,https://www.centralbankcenter.com/,"Central Bank Center is the ultimate “user friendly” facility. Comprised of 100,000 square feet of contiguous exhibit space and 50,000 square feet of multipurpose meeting rooms, the facility is connected to two major hotels and the historic Rupp Arena. The Central Bank Center holds over 200 meetings, trade shows, and special events annually.
Since 1976, Rupp Arena at Central Bank Center has served as the home court of the University of Kentucky men’s basketball team, regularly leading the national attendance average. Rupp Arena has hosted legendary artists such as Justin Timberlake, Paul McCartney, Garth Brooks, Chris Stapleton, and many more. Since 2018, Oak View Group and Live Nation Arenas have provided booking services to Rupp Arena. During the last 18 months, Rupp Arena has broken all previous audience attendance and revenue records in its storied 43-year history."
21,CFG Bank Arena,https://www.cfgbankarena.com,"CFG Bank Arena is a multi-purpose sports and entertainment venue located in the heart of downtown Baltimore. The Arena first opened in 1962, when it was known as the Baltimore Civic Center. Located at 201 W. Baltimore Street, the Arena has recently been transformed into a world-class facility by Oak View Group, now hosting world-class concerts, family shows, sporting events and more. The venue celebrated its grand opening weekend on April 7 & 8, 2023 with sold-out performances by Bruce Springsteen & The E Street Band and the Eagles. The $250+ million world-class modern Arena accommodates 14,000 guests and serves as a key anchor on downtown Baltimore’s west side, helping to drive further investment and development in the area. CFG Bank Arena was recently ranked #10 worldwide as the highest grossing venue (10-15K capacity) by Billboard Magazine. For more information and a list of upcoming shows, visit www.cfgbankarena.com"
22,Chaifetz Arena,https://www.chaifetzarena.com/,"Chaifetz Arena, located in St. Louis, Missouri, is a 10,600 seat multi-purpose venue that opened its doors in April 2008. It is home to Saint Louis University men’s and women’s basketball. The arena features a single concourse along with a suite level boasting 14 suites and two-party suites. There is also a large club for dinners and parties. Chaifetz Arena, which is owned by Saint Louis University, is privately managed by Oak View Group. Chaifetz Arena hosts a variety of events each year including concerts, family shows, trade shows, high school + university commencements as well as men’s and women’s basketball games. Booking contact: Michael Kremer, General Manager, michael.kremer@slu.edu"
23,Charleston Coliseum Convention Center,https://www.chaswvccc.com/,"Conveniently located at the confluence of three major interstates – I-77, I-64 and I-79 and just five minutes from Yeager Airport with daily flights to several major hubs. Over 1,200 Hotels Rooms are within walking distance of the Convention Center. The campus includes the 13,500 seat Coliseum, the newly renovated 100,000 net sq. ft. Convention Center, and a 738-seat Theater. The Charleston Coliseum and Convention Center is the state’s premier entertainment and meeting destination hosting concerts, family shows, sporting events, conventions, corporate events, exhibitions, and much more."
24,Chartway Arena,https://www.chartwayarena.com,"Chartway Arena is a 9,100-seat multi-purpose arena located on the campus of Old Dominion University. Since it opened in 2002, Chartway Arena is known as one of the premier mid-sized collegiate venues in the country. Chartway Arena is home to Old Dominion Monarch Men’s and Women’s basketball, as well as concerts, family shows and other attractions for the Hampton Roads area.  "
25,Chesapeake Employers Insurance Arena,https://www.chesapeakeemployersinsurancearena.com,"Located on the campus of the University of Maryland, Baltimore County stands the multi-purpose sports and entertainment venue, the Chesapeake Employers Insurance Arena. The venue officially opened its doors on Saturday, February 3rd, 2018 for a sold-out UMBC Men’s Basketball game. The 5,000-seat arena is the home to the Retriever Men’s and Women’s basketball teams and women’s volleyball. The arena hosts a variety of events including concerts, commencements, family shows, festivals, consumer shows, featured speakers, and banquets. Capacity: 5,500 Metro Population: 576,500 In House Marketing Capabilities: Traditional, Digital, Social Media, Grassroots, in-venue TV Screens, ribbon boards, concourse posters Booking contact: Tiffany Sun, General Manager 706.459.8610 | tsun@umbc.edu"
26,CHI Health Center,https://chihealthcenteromaha.com,"CHI Health Center Omaha is home for the Creighton men’s Big East basketball games. It also hosts the annual Berkshire Hathaway shareholders meeting, which welcomes thousands of people from across the world. Additionally, every four years the arena converts into a competition pool for the U.S. Olympic Swimming Trials. Capacity: 19,000 MSA Population: 940,00. OVG provides Booking Services. Booking Contacts: Brad Painter, BPainter@oakviewgroup.com"
27,Citizens Bank Park,https://www.mlb.com/phillies/ballpark,"Citizens Bank Park is a baseball park located in Philadelphia, Pennsylvania. It is the home of the Philadelphia Phillies, the city’s Major League Baseball"
28,Climate Pledge Arena,https://climatepledgearena.com/,"Climate Pledge Arena, located at Seattle Center, is the complete redevelopment of an historic landmark, originally built for the 1962 Seattle World’s Fair. The arena is home to the NHL’s Seattle Kraken, WNBA’s Seattle Storm, and the world’s biggest performers of live music and events. The arena is named after The Climate Pledge, an initiative founded by Amazon and Global Optimism asking global corporations to become net zero carbon by 2040. Climate Pledge Arena has one of the most progressive sustainability programs of any building its size, including being the world’s first Zero Carbon Certified arena. Climate Pledge Arena opened October 19, 2021. Visit climatepledgearena.com"
29,Co-op Live,https://www.cooplive.com/,"Under construction in Manchester, UK, Co-op Live will serve as the largest indoor music venue in the UK."
30,Cotton Bowl® Stadium,https://www.fairparkdallas.com,"Located a few miles east of downtown Dallas inside historic Fair Park, the iconic Cotton Bowl® Stadium serves as the home of the annual Red River Showdown football game between the University of Texas and the University of Oklahoma and was the original home of the annual Cotton Bowl Classic from 1937 until 2009. Whether it’s hosting an NFL Championship (January 1, 1967), 1994 World Cup games or the 2nd most attend NHL Winter Classic ever, the Cotton Bowl has seen its share of highlights in its 90-plus year history. Today, the stadium has a capacity of more than 92,000-seats, making it one of the largest stadiums in the country."
31,Cox Business Convention Center,https://coxcentertulsa.com,"Cox Business Convention Center (CBCC) offers over 275,000 square foot of event space in downtown Tulsa, along with in-house catering, AV, IT, and more. CBCC makes planning your next event easy."
32,Cross Insurance Arena,https://www.crossarenaportland.com,"Cross Insurance Arena is a 6,200-seat multi-purpose arena located in downtown Portland, Maine. Opened in 1977, renovated in 2012, the Cross Insurance Arena is home to ECHL’s Maine Mariners, minor league affiliate to the Boston Bruins, concerts, family shows and MPA Class AA state basketball championships."
33,Crown Complex,https://www.crowncomplexnc.com,"The expansive Crown Coliseum opened in October of 1997 and has continued to set records. Seating up to 10,000, this versatile facility contains an ice floor for hockey and ice shows and easily converts into the ideal venue for world-class concerts, sporting events and other performances. Seating just over 2,400, the Crown Theatre showcases a wide range of theatrical events, concerts and comedy shows. The Crown Arena has the capability to meet the needs of a wide range of activities including catered functions, exhibitions, rodeos, basketball, concerts and other sporting events. The Arena seats up to 4,500 and provides 11,552 square feet of unobstructed space. The Crown Expo is designed as a full-service, multi-purpose exhibit and meeting facility that can be adapted for space as small as 10,000 square feet and as large as 60,000 square feet to meet the needs of any client. The exposition center is capable of hosting a range of event types from trade shows to large-scale banquets, fashion shows and much more. The 9,200 square foot, state-of-the-art Crown Ballroom and connecting 7,000 square feet kitchen can be utilized for distinctive receptions and gatherings for groups ranging in size from just a few to up to 650. Whether you are looking for a classroom-style training space, large speaking area or banquet space, the Crown Ballroom can easily adapted to fit your needs."
34,Crown Expo,https://www.crowncomplexnc.com,"The Crown Expo is designed as a full-service, multi-purpose exhibit and meeting facility that can be adapted for space as small as 10,000 square feet and as large as 60,000 square feet to meet the needs of any client. The exposition center is capable of hosting a range of event types from trade shows to large-scale banquets, fashion shows and much more."
35,CURE Insurance Arena,https://www.cureinsurancearena.com,"CURE Insurance Arena, formerly known as the Sun National Bank Center & Sovereign Bank Arena, opened on October 6, 1999. Over the past 24 years the arena has hosted international music sensations like Carrie Underwood, Elton John, Justin Bieber, Cher, Bruce Springsteen, GHOST, and Shania Twain and so many more! Along with top sporting events such as the 2006 NCAA Division I Women’s Basketball First and Second Rounds and 2009 NCAA Division I Women’s Basketball Trenton Regional; and family-friendly entertainment like the Ringling Bros. and Barnum & Bailey Circus, The Harlem Globetrotters, Hot Wheels Monster Trucks LIVE, and Disney On Ice! CURE Insurance Arena is an OVG360 Facility that includes Food Service provided by OVG Hospitality. The arena is located in Trenton, New Jersey which is located approximately 35 minutes from Philadelphia and 45 minutes from Northern New Jersey. To learn more about all of our upcoming events visit us at www.cureinsurancearena.com + follow us on Facebook, Instagram, Twitter & Tik-Tok!"
36,Dacotah Bank Center,https://www.dacotahbankcenter.com,"The Dacotah Center is a gathering place for cultural, recreational, and educational events. With a 30,000-square-foot arena, state-of-the-art banquet rooms, conference rooms, and in-house catering, the Dacotah Bank Center is an international award-winning venue of excellence and one of South Dakota’s premier event centers."
37,Doggett Ford Park,https://www.doggettfordpark.com,"Doggett Ford Park is the premiere sports, entertainment, and convention destination of Southeast Texas!  Conveniently located in Beaumont, Texas on Interstate Highway 10 between Houston and Lake Charles, our versatile event center features five world-class facilities on 221 acres. Doggett Automotive Fields opened in 2002 and has 12 championship-caliber youth baseball/softball fields, a centralized gate, covered stands, concessions, restrooms, and 1,000 space parking lot. Tournaments are hosted most weekends during the season. Doggett Ford Park Pavilion opened in Spring 2003 with Kenny Chesney and Keith Urban and continues to host some of the biggest names in music. The 14,000-seat Doggett Ford Park Pavilion has first-class amenities, ample parking, restrooms, food and beverage plazas and lots of space to enjoy a relaxing evening under the stars. Doggett Ford Park Arena, Doggett Ford Park Exhibit Hall and Doggett Ford Park Midway opened in the Fall of 2003, with Doggett Ford Park Arena selling out its inaugural event. The 8,500 seat multi-purpose Doggett Ford Park Arena hosts concerts, rodeos, circuses, motor sports and many other special events. There’s always something going on at Doggett Ford Park Arena! Doggett Ford Park Exhibit Hall has 48,000 square feet of exhibit space and is attached to the Arena, offering a combined 83,000 square feet of space. The Exhibit Hall includes 8 individual meeting rooms, an 11,000 square foot lobby or pre-function space, concession stands and restrooms.  Doggett Ford Park Midway is home to the YMBL-sponsored South Texas State Fair, which draws an attendance of over 400,000 each year. With 9 acres of paved midway, there is plenty of room for festivals, fairs, and rodeos. Structures in Doggett Ford Park Midway include a 45,000 square foot practice arena, over 25,000 square feet of covered barn space and a dedicated parking area."
38,Donald L. Tucker Civic Center,https://www.tuckerciviccenter.com,"The Donald L. Tucker Civic Center at Florida State University is North Florida’s Premier Entertainment & Convention Center featuring a 12,500-seat arena, luxury suites, club seats, over 54,000 sq. ft. of meeting and exhibition space and an arena view restaurant, the Spotlight Grille. The Tucker Center also features six meeting rooms that are fully carpeted and are equipped with sound systems and adjustable lighting. To meet your exact needs, this 16,000 square feet of meeting space can be divided into a variety of floor plans. "
39,Durham Convention Center,https://www.durhamconventioncenter.com/,Prime Site Award Winner Durham Convention Center hosts a wide range of events and is the premier meeting and conference destination in the heart of vibrant downtown Durham.
40,Edward D. Hansen Conference Center,https://www.angelofthewindsarena.com/conference-center,"The Edward D. Hansen Conference Center has the perfect space for your needs. From meetings and galas to trade shows and banquets, we know that no two events are exactly alike. The Conference Center is designed to be flexible and its team members are dedicated to making your event amazing. Our Grand Ballroom is 11,385 square feet and can be divided into four smaller ballrooms. The Mezzanine Level features an Executive Boardroom & two 900 sq. ft. meeting rooms. Executive Boardroom for meetings up to 24 people Multiple classroom-style breakout rooms available Accommodating groups and events from as few as 15 to a maximum of 800"
41,Enmarket Arena,https://enmarketarena.com,"Capacity: 9,500 Metro Population: 405,000 In-House Marketing Capabilities: Full in-house marketing capabilities; digital, advertising, PR, graphic design, media buying/placing, outreach, group sales Booking Contacts: Monty Jones Jr., General Manager mjones@enmarketarena.com Brooke Cima, Assistant General Manager bcima@enmarketarena.com A new wave of entertainment has hit the coastal empire. Opened in February 2022, Enmarket Arena is the most celebrated disruption in the Southeast and is managed and operated by Oak View Group’s, OVG360, leaders in the sports and entertainment industry. Decades of heightened anticipation has over-delivered with an arena experience unlike any other – intentionally designed to show off for worldwide guests and make locals and visitors fall in love with Savannah. The 9,500 seat arena has proven itself to be one of the top arenas in the country welcoming through its doors the likes of Reba, Alan Jackson, The Lumineers, Eagles, Morgan Wallen, Disney on Ice, New Edition, Rod Wave, Pitbull, Brooks & Dunn, AEW, Jason Aldean, Earth, Wind & Fire, Andrea Bocelli and many more to come. Enmarket Arena is also the host to the newest ECHL team, Savannah Ghost Pirates.  "
42,Fair Park Coliseum,https://www.fairparkdallas.com,"Home to countless concerts and major entertainment events throughout the decades, the multi-purpose Fair Park Coliseum is ideally suited for concerts, sporting and rodeo events, as well as trade/consumer shows, and graduations. Conveniently located within 2 miles of Downtown Dallas, this highly flexible space allows for event customization, including sound, lighting, and seating."
43,Fair Park Dallas,https://www.fairparkdallas.com,"Located just two miles east of Downtown Dallas, Fair Park is the largest historical landmark in Texas and boasts one of the nation’s largest collections of 1930s art and architecture. The 277-acre campus is home to the State Fair of Texas, museums, Cotton Bowl Stadium, an outdoor amphitheater, Music Hall at Fair Park, and over one thousand events each year, including festivals, concerts, Broadway shows, weddings, meetings, and more."
44,Fertitta Center,https://www.uh.edu/fertitta-center,"Sitting on the University of Houston campus, this newly renovated arena is located minutes from Downtown Houston and showcases Houston’s most desirable multi-purpose destination. The Fertitta Center has been reimagined into an intimate theater-style seating experience bringing visitors closer to live entertainment. Capacity: 7,898 180 End Stage: 4,745"
45,Findlay Toyota Center,https://www.findlaytoyotacenter.com,"The Findlay Toyota Center has a full in-house marketing department that can assist event promoters with all marketing needs. The marketing department can negotiate and place print and broadcast schedules; use internal and external e-mail databases to expand viral marketing efforts and generate and implement an effective grassroots marketing campaign. In addition, the FTC marketing team can utilize their relationships with local media and venue partners to generate additional coverage through trade schedules, press releases, media pitches, and securing interviews. Booking Contact Shane Cadwell | shane.cadwell@oakviewgroup.com | 928.583.6090 The Findlay Toyota Center (FTC) located in Prescott Valley, AZ, is a 6,200 seat multi-purpose facility that opened its doors in November 2006. The FTC leads the field among venues in north and central Arizona and is home to the Northern Arizona Wranglers, members of the premier Indoor Football League (IFL). With 165,000 square feet of extended floor space, the Findlay Toyota Center is ideal for hosting concerts, sporting events including basketball and hockey, family shows, conferences, banquets, and cultural programs. The arena features a single concourse and has twenty-two suites and two-party suites, as well as a large club lounge for dinners and parties. The technical expertise and dedication of the FTC staff ensure that audiences will be dazzled and entertained with shows they will never forget. The Findlay Toyota Center is owned by the Town of Prescott Valley and managed by OVG360, a division of Oak View Group, a full-service venue management and hospitality company with more than 200 client partners worldwide. "
46,First Interstate Arena,https://www.metrapark.com,"Located within an hour’s drive of 2/3 of the state’s population, the Coliseum is located in the heart of Georgia, just minutes away from the I-75/I-16 interchange. It offers guests 2,300 paved, lighted parking spaces, and an adjoining 7,068 square feet of meeting and banquet space."
47,First Ontario Centre,https://www.coreentertainment.ca/FirstOntario-Centre,"Booking contact:Andrew Nash, General Manager – andrew.nash@oakviewgroup.com
FirstOntario Centre is one of North America’s premier entertainment venues, housing a variety of spectacular concert and sporting events each year.
FirstOntario Centre is the proud home of the OHL’s Hamilton Bulldogs, and the NLL’s Toronto Rock."
48,Flint River Entertainment Complex,https://www.flintriverentertainmentcomplex.com,"Flint River Entertainment Complex is owned by the City of Albany and is operated by OVG. Located in Albany, GA, Flint River Entertainment Complex is comprised of three venues – the Albany Civic Center, Albany Municipal Auditorium, and Veterans Park Amphitheatre. Hosting live spectator events, banquets, meetings, trade shows, conferences, concerts and more, Flint River Entertainment Complex prides itself on bringing quality entertainment to southwest Georgia."
49,Food City Center at Thompson-Boling Arena,https://www.tbarena.com,"Food City Center at Thompson-Boling Arena is a staple of Knoxville’s thriving downtown, Food City Center is located in the heart of the University of Tennessee’s expansive campus and serves as a strong regional draw for all of East Tennessee. Capacity: 22,206, MSA Population: 1M+ , 30,000 Students on Campus. Booking Contacts: Brad Painter, Director of Booking bpainter@oakviewgroup.com Thompson-Boling Arena: As a staple of Knoxville’s thriving downtown, Thompson-Boling Arena is located in the heart of the University of Tennessee’s expansive campus and serves as a strong regional draw for all of East Tennessee. Conveniently located, Knoxville sits at the intersection of I-40, I-75 and I-81, making it easily accessible and routable between Nashville, Atlanta and Charlotte. Additionally, Knoxville residents enjoy a vibrant arts community featuring over 200 annual performances in various venues across the city, creating an active and booming live entertainment market."
50,Ford Idaho Center,https://www.fordidahocenter.com,"The Ford Idaho Center is managed by Oak View Group and is conveniently located off I-84 in Nampa, Idaho. The campus is home to the Ford Idaho Center Arena that holds a capacity of 12,000, the Ford Idaho Center Amphitheater that can hold up to 11,000, and the Ford Idaho Horse Park and Sports Center that has a capacity of 2,200, has 578 horse stalls, 44 full hook-up RV spots, 16 partial RV hook-ups, two covered riding arenas, and four open riding arenas. The Sports Center also offers a full restaurant and meeting space that is open to the public during select events and is also available as a rental space."
51,Ford Park Entertainment Complex,https://www.fordpark.com,"Ford Park is the premiere sports, entertainment, and convention destination of Southeast Texas!
Conveniently located in Beaumont, Texas on Interstate Highway 10 between Houston and Lake Charles, our versatile event center features five world-class facilities on 221 acres.
Ford Fields opened in 2002 and has 12 championship-caliber youth baseball/softball fields, a centralized gate, covered stands, concessions, restrooms, and 1,000 space parking lot. Tournaments are hosted most weekends during the season.
Ford Pavilion opened in Spring 2003 with Kenny Chesney and Keith Urban and continues to host some of the biggest names in music. The 14,000-seat Ford Pavilion has first-class amenities, ample parking, restrooms, food and beverage plazas and lots of space to enjoy a relaxing evening under the stars.
Ford Arena, Ford Exhibit Hall and Ford Midway opened in the Fall of 2003, with Ford Arena selling out its inaugural event. The 8,500 seat multi-purpose Ford Arena hosts concerts, rodeos, circuses, motor sports and many other special events. There’s always something going on at Ford Arena! Ford Exhibit Hall has 48,000 square feet of exhibit space and is attached to the Arena, offering a combined 83,000 square feet of space. The Exhibit Hall includes 8 individual meeting rooms, an 11,000 square foot lobby or pre-function space, concession stands and restrooms.
Ford Midway is home to the YMBL-sponsored South Texas State Fair, which draws an attendance of over 400,000 each year. With 9 acres of paved midway, there is plenty of room for festivals, fairs, and rodeos. Structures in Ford Midway include a 45,000 square foot practice arena, over 25,000 square feet of covered barn space and a dedicated parking area."
52,Ford Wyoming Center,https://www.fordwyomingcenter.com,"Formerly the Casper Events Center, the venue was renamed to the Ford Wyoming Center in January 2021. The Center is a 28,000 square foot multi-purpose facility, built high on a hill overlooking the city of Casper, Casper Mountain, and the scenic Platte River Valley. Funded entirely by the City’s portion of an optional 1% sales tax, the venue opened on April 17, 1982. The arena features a horseshoe-shaped seating bowl with 8,000 seats."
53,Fort Smith Convention Center,https://www.fortsmithconventioncenter.org/,"Located at the center of historic downtown Fort Smith, Arkansas, our convention center is within minutes of more than 3,400 quality hotel rooms and just steps from the best shopping, dining, attractions, and live entertainment the city has to offer! On this page, you’ll find information on the convention center’s diverse on-site facilities that make this the most flexible and customizable event space in the region."
54,Fredericksburg Convention Center,https://www.fredericksburgconventioncenter.com/,"The Fredericksburg Convention Center delivers a first-class experience that is dedicated to providing the highest level of attendee and exhibitor satisfaction. Whether hosting a convention, medium-sized business meeting, or formal banquet, Fredericksburg Convention Center has the staff and amenities to assist in the entire event planning process."
55,Grand River Convention Center,https://www.grandrivercenter.com/,"This one of a kind convention center is situated along the Mighty Mississippi River in Dubuque, Iowa. We are in a central location where you can be connected to everything in the Port of Dubuque to Dubuque’s Main Street. Whether you are looking to book a trade show or convention, the midwest award-winning Grand River Center has the scale and versatility to host any event, of any size at any time."
