FirstName,LastName,Company,Title,Socials,Website,Biography
Alon,Goren,Draper Goren Holm,Founding Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Alon is a Founding Partner of Draper Goren Holm, a Venture Studio focused on accelerating and incubating early-stage blockchain startups. Alon is also Co-Founder of LA Blockchain Summit. He is an investor, speaker, hostand leader of one of Southern California’s largest group of investors and entrepreneurs, 805 Startups, with a laser-focussed eye on building and supporting startups and entrepreneurs. A pioneer in the crowdfunding space, Alon had been involved in over $200 Million Dollars in online investment transactions. He has developed technology that powers websites and financial transactions for Fortune 500 companies and well-known foundations such as Coca-Cola, American Express, ATB Financial and Global Philanthropy Group. InvestedIn, Alon’s previous company, created a white label fundraising portal for individuals and businesses hoping to crowdfund ventures independently of major platforms. Later, his support of the JOBS Act, online media expertise and day-to-day interactions with venture funds, investors and financial professionals inspired him to create a solution to market hedge funds, real estate funds and venture funds to investors over the internet. Before InvestedIn, Alon worked for entertainment tech giants such as Amazon, IMDb and MySpace where he managed customer experience, product development and support. InvestedIn was named “Best Marketplace Platform” by the Los Angeles Venture Association in 2013 and he was named to the Socaltech 50 for his work with InvestedIn. Alon is a thought leader on social enterprise, venture capital and crowdfunding, and has spoken at SXSW V2V, Kingonomics and many other conferences and been featured in prominent publications including Forbes, WSJ, Washington Post, TechCrunch and VentureBeat."
Dr. Sabah,al-Binali,Universal Strategy,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/albinali'}",{},"Dr. Sabah Hamad al-Sabah al-Binali is Founder & CEO of Universal Strategy and an active investor and entrepreneurial leader, with a track record of financing, building and growing companies in the Mena region.Dr. al-Binali serves as a Director of the Board of The National Investor, has served as the Chief Investment Officer and CEO of Credit of SHUAA Capital, Director of the Board at Credit Suisse Saudi Arabia, Chairman of Shuaa Capital Saudi Arabia, Vice Chairman of Gulf Finance Co., Chairman of Gulf Installments Co., Chairman of Zawya, founding CEO and CIO of Saffar Capital and Head of the Treasury and Investment Division at Union National Bank, where he also was a member of the ALCO Committee and Credit Committee,  as well as Director of the Board at Visa International CEMA Region.Dr. al-Binali is a prolific writer on investment, finance and business on his personal blog, much of which has been published in The National.Dr. al-Binali holds a Diploma in Company Direction from the UK Institute of Directors.Dr. al-Binali received his Ph.D. from Columbia University, dissertation title: Competitive Analysis of Risk-Taking and Valuation of Financial Derivatives, and a B.S.E from Princeton University."
Manus,Cranny,Bloomberg,Co-anchor - Daybreak Middle East & Daybreak Europe,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/manuscranny'}",{},"Manus Cranny is the co-anchor of Bloomberg Daybreak: Middle East & Daybreak Europe. He brings 20 years exposure to Global markets, finance and media.His insight and knowledge built across markets from Futures & Options, Equities, Foreign exchange ,Oil & Commodities drives the Global Coverage.Cranny has interviewed global business & political leaders Bill Gates Microsoft Co Founder, Cyril Ramaphosa President of South Africa, UBS Group CEO Sergio Ermotti, and Barclays CEO Jes Staley , a host of oil industry CEOS Total, Shell, ENI , Equinor and BP In Middle East Agenda moves at Speed & Manus has access to the political and business elite across the region, HE Anwar Gargash Minister Foreign Affairs, CEO Mubabala Khaldoon Al Mubarak, SABIC CEO Yousef Al-BenyanManus began his career as commodity trader, honed his institutional skills at First Chicago Bank (now part of JP Morgan Chase) & Cantor Fitzgerald Cranny received a Bachelor of Science degree in Management from Queen’s University Belfast."
Alastair,Sewell,Fitch Ratings,"Regional Head of Fitch Ratings' Fund & Asset Manager Group, EMEA & APAC","{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/alastair-sewell-cfa-75b37a2/'}",{},"Alastair Sewell is a senior director and regional head of Fitch Ratings’ Fund and Asset Manager Group for EMEA and APAC.Alastair was previously a CDO asset manager analyst in Fitch’s structured credit group. He began his career as a performance analyst in Fitch’s CDO surveillance team. Prior to joining Fitch, Alastair worked for a UK local authority.Alastair earned a BSc from the University of Bristol and an MBA with distinction from the University of Bath."
Ziad,Makkawi,EQUIAM,Founder & CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/ziadmakkawi/'}",{},"Ziad is the Founder & CEO of EQUIAM a San Francisco based, systematic and data driven VC firm disrupting the traditional VC model and democratizing access to the asset class. Ziad is a serial entrepreneur with a focus on Financial Services. He has over the past 30 years identified emerging trends, conceptualized businesses, built teams, generated shareholder value and strong returns to his investors in Asset Management; Private Equity; Investment Banking; and Banking. Ziad pioneered these sectors in the MENA region and currently serves on the Investment Committee of the Dubai Future District Fund’s an evergreen fund investing and building the region’s VC ecosystem. As an Executive, Ziad has been both a Founder/Owner as well as a CEO for private and publicly listed companies. Ziad served as CEO of 2 banks (Dubai Bank & Qatar First Bank); CEO of Istithmar World a $7 billion Global PE portfolio; and was involved as Founder/builder of 2 Investment Banks (MECG; SHUAA Capital); and one Asset Management firm, Algebra Capital he sold in 2011 to global asset manager Franklin Templeton. Ziad started his career at JP Morgan’s currency and derivatives desks in New York in 1986; He holds a BA in Economics from Rice University; an MBA from NYU Stern School of Business; a Masters in International Affairs from Columbia University and is a graduate of the Harvard University YPO President’s Program"
Michael,Lints,Golden Gate Ventures,Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/mhlints/'}",{},"Michael Lints has 20+ years of experience as a startup operator and investor. He is currently a partner at the Singapore-based VC Golden Gate Ventures. As a partner, he focuses on institutional fundraising. Michael supports the firm on portfolio-level priorities e.g., fundraising and capital allocation.In 2000 Michael co-founded an IT-managed services startup in Europe that was acquired in 2006. He joined the Economic Development Board Rotterdam as Vice Chairman in 2007. In that role, he launched the Young Economic Development Board,Michael is an active writer and a co-director of an award-winning social impact documentary called Broken Chains.Michael collaborates with world-renowned players in the sports and entertainment industries, bridging their world with tech and venture capital."
Salmaan,Jaffery,DIFC,Chief Business Development Officer,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"In his capacity as Chief Business Development Officer, Salmaan Jaffery is a member of the management team responsible for the DIFC client portfolio and is responsible for developing and executing business strategies aligned with the DIFC’s 2024 growth ambitions. The business development team, under Mr. Jaffery’s direction, identifies and evaluates potential partnership opportunities that serve business and client growth within the DIFC community. Mr. Jaffery has held leadership roles at global financial services and consulting firms with work spanning North America, Asia and MENA and has 20 years of extensive operating and advisory experience working with international firms across the region."
Staci,Warden,Algorand Foundation,CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Prior to joining the Board of the Algorand Foundation, Staci ran the Global Market Development practice at the Milken Institute, where she led its work on capital market development, crypto/blockchain solutions, and innovative finance to promote the sustainable development goals. Prior to Milken, Staci ran JPMorgan’s EMEA public sector practice out of London. Before JPMorgan, she led the Nasdaq’s two markets for microcap companies, and in the public and non-profit sectors had senior roles at the U.S. Treasury Department, the Center for Global Development, and the Harvard Institute for International Development.Staci has done business in more than 50 countries and has advised and spoken widely on the potential for cryptocurrencies and blockchain to solve real-world problems, and for financial innovation to improve inclusion and reduce global poverty. In addition to the Algorand Foundation, she sits on the Boards of the Global Blockchain Business Council, the Rwandan Capital Market Authority, and the Energy for Growth Hub.  She also serves on the advisory committees of the United Nations Capital Development Fund (UNCDF), the European Parliament’s Science and Technology Committee (STOA), the U.S. Financial Technology Association, and Evolution Environmental Asset Management."
Brendan,Carroll,Victory Park Capital,Senior Partner & Co-Founder,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/brendan-carroll-8b317a/'}",{},"Brendan Carroll is a Senior Partner at VPC, which he co-founded in 2007. He is responsible for strategic initiatives and firm operations in addition to sourcing, evaluating and executing investment opportunities. Mr. Carroll also oversees marketing, fundraising, business development and investor relations for the firm. He is a member of the firm’s Investment Committee and Valuation Committee. Mr. Carroll serves as a member of the board of directors of VPC portfolio company, johnnie-O. Previously, as a member of the Solutions Group at Magnetar Capital, Mr. Carroll specialized in direct financings to lower middle market companies. He has held various investment banking positions at William Blair and Robertson Stephens, specializing in corporate finance and mergers and acquisitions. Mr. Carroll has also worked in various capacities for former U.S. Senator Joseph Lieberman (I- CT). Mr. Carroll received a B.A. with honors in government from Georgetown University and an MBA from Harvard Business School. He speaks frequently on debt and private equity investing issues and has served as a guest lecturer and panelist at the University of Chicago’s Booth Global School of Business, Northwestern University’s Kellogg School of Management and Harvard Business School. Mr. Carroll is a member of the Finance Council of the Archdiocese of Chicago and Loyola Press and previously served on the Board of Regents at Georgetown University. He is also a director on the board of the Ann & Robert H. Lurie Children’s Hospital of Chicago and is also a member of the board’s Finance Committee."
Daniel,Masters,CoinShares,Executive Chairman,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'http://linkedin.com/in/danielmastersuk'}",{},"Daniel Masters is Chairman of CoinShares, a publicly listed investment firm that manages billions in assets on behalf of a global investor base, and a trusted voice in the digital asset ecosystem.As Chairman of CoinShares, Daniel draws upon his decades of experience in commodities and finance to oversee the firm's growth and help strengthen the broader crypto industry. Before CoinShares, Daniel is known for having launched GABI, the world's first regulated Bitcoin fund in 2014, through Global Advisors, a regulated investment management company which he co-founded in 1999. Prior to GABI, Global Advisors served investors through a series of private funds focused on oil and other commodities.Daniel began his career in Oil and Energy trading for Shell Oil, Solomon, and prior to co-founding Global Advisors, served as Global Head of Energy and Trading Business at Morgan Guaranty Trust Company (""MGT"") in New York (now JP Morgan Chase & Co.). Daniel has a Bachelors of Science in Physics from Exeter University, a Masters in Management Science and Operational Research from Imperial College, and Graduate Certification in Applied Statistics from Penn State University."
Badar,Al Shanfari,Jabreen Capital,Deputy CEO,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/company/jabreen-capital/mycompany/?viewAsMember=true'}",{},"Badar Al Shanfari, currently serves as Deputy Chief Executive Officer at Jabreen Capital. He has over 17 years of experience in the field of Investments and Financial Services. Throughout his career Badar has held various leadership positions including the CEO of Uzbek-Oman Investment Company, which is the leading private equity firm based in Tashkent. He then took on a role as EVP of International Strategic Business at OMINVEST and Deputy CEO of EastBridge Partners based out of Singapore to lead OMINVEST’s Southeast Asian initiatives. Badar has served and is currently on multiple Boards of various companies, in different sectors and geographies. He earned his bachelor’s degree in Business Administration from Duquesne University and his MBA from Strathclyde University. In addition, Badar is a Certified Public Accountant from the United States of America - state of Delaware."
Sam,Englebardt,Galaxy Interactive,Founding General Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/samenglebardt/'}",{},"Sam Englebardt is a Co-founder and Partner at Galaxy Digital and the Founding General Partner of Galaxy Interactive. He is an established media/technology investor and content producer who has created, acquired, and/or financed a broad range of traditional and digital businesses and dozens of films and television shows over the past decade. His involvement with Galaxy reflects his deep interest in the intersection of content, consciousness and exponential technologies. In addition to the Galaxy Interactive portfolio, he was an early investor in Eyefluence, an eye-tracking technology company that was sold to Google and he has been an advisor to several start-ups in the mixed-reality space, including VR company, The Void (www.thevoid.com). Prior to Galaxy Digital, Englebardt was a Partner and Managing Director at Lambert Media Group (LMG) from 2007 – 2016, where he sourced and managed a portfolio of media-sector private equity investments. Before LMG, Englebardt was a Vice President and Financial Advisor at Alliance Bernstein. He has been a prolific content producer throughout his career and spent three years running LMG portfolio company, Demarest Films. His recent live-action projects include the acclaimed John Le Carre projects, The Night Manager and A Most Wanted Man. A licensed attorney in California, Englebardt earned his J.D. from Harvard Law School and studied philosophy, political science and economics at Oxford University and the University of Colorado at Boulder, from which he graduated summa cum laude and Phi Beta Kappa."
Julian,Schickel,Avellinia Capital,Founding Partner,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Julian has over 20 years of experience in leadership roles on the buy side and sell side across investing, structuring and trading, business development, as well as senior management. His sector experience spans primarily alternative and structured credit, and commodities at leading institutions. Julian is a Co-founder and Managing Partner at Avellinia Capital, a London and Luxembourg based investment firm focused on asset-based lending to startups and growth companies.Prior to this, Julian was the European Chief Executive of ZAIS Group, a previously NASDAQ-listed alternative asset manager focused on structured and complex credit with more than US$ 6bn in assets under management. Before ZAIS, he worked in commodities trading at Glencore in Zug, Switzerland. Julian started his career at Lehman Brothers in London, where he advised pension funds, insurance companies and asset management companies on structured credit products and solutions. Julian has also been a senior advisor to hedge fund and alternative asset management and insurance startups and scale-ups during his career."
Nicolás,Schmidt-Urzúa,Silver 8 Capital,Managing Director,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/nicol%C3%A1s-schmidt-urz%C3%BAa-863427/'}",{},"Nicolás Schmidt-Urzúa is Managing Director at Silver 8, a US based Digital Asset Hedge Fund manager since 2015. Nicolás has over 25 years of investment experience many of which he led global investment teams at J.P. Morgan, and Citi, in EMEA, Latam, and the US. Nicolás has an MBA from ASU/Thunderbird, and is a BS in Business and Economics from Universidad de Chile."
Charles,Goodhart,London School of Economics,Professor Emeritus of Banking and Finance,"{'Facebook': '', 'Twitter': '', 'Linkedin': ''}",{},"Charles Goodhart was appointed to the Norman Sosnow Chair of Banking and Finance at the London School of Economics (LSE) in 1985, until his retirement in 2002 when he became Emeritus Professor of Banking and Finance. He was elected a Fellow of the British Academy in 1990, and awarded the CBE in 1997, for services to monetary economics. During 1986, he helped to found the Financial Markets Group at LSE. For the previous 17 years he served as a monetary economist at the Bank of England, becoming a Chief Adviser in 1980. Following his advice on overcoming the financial crisis in Hong Kong in 1983, he subsequently served on the HK Exchange Fund Advisory Committee until 1997. Later in 1997 he was appointed for three years, until May 2000, one of the four independent outside members of the newly-formed Bank of England Monetary Policy Committee. He became an economic consultant to Morgan Stanley in 2009, until he resigned, at the age of 80, in 2016.  It was during this period that he began work on the subject matter of his recent book, The Great Demographic Reversal (Palgrave Macmillan), with his colleague there, Manoj Pradhan.  He was written widely on matters relating to monetary policy, especially central banking, and macro-economics.   Charles is the author of Goodhart's Law ""that any observed statistical regularity will tend to collapse once pressure is placed upon it for control purposes.”"
Justina,Lee,Bloomberg News,Reporter,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/justina-lee-3a0a4a44/'}",{},"Justina Lee has been a journalist at Bloomberg News for a decade, covering markets from Taipei, Hong Kong and London. Now a cross-asset reporter, she has written everything from last year's Businessweek cover on Binance to features about quantitative trading and profiles of hedge-fund managers. She started covering cryptocurrencies in 2016, with a focus on exchanges, markets and trading strategies."
Shubin,Jha,Menai Asset Management,Head of Research & Portfolio Manager,"{'Facebook': '', 'Twitter': '', 'Linkedin': 'https://www.linkedin.com/in/shubinjha/'}",{},"Shubin Jha is the Head of Research & Portfolio Manager for Menai Asset Management. Shubin has led research efforts across various markets, industries and securities during his 17 years of experience in investing at three hedge funds. Most recently, he spent seven years at Southpaw Asset Management as Managing Director of Research. He has significant experience in studying macro variables, product and market analyses, as well as valuations driven by both fundamental and technical factors. Prior to Southpaw, Shubin worked with Zoe Cruz at Voras Capital Management, where he conducted macroeconomic and fixed income investment research. Shubin began his career in International Finance in India. He has an undergraduate degree in Economics from Delhi University and a Master of Business Administration degree from New York University."
